file,shape,n1,n2,ratio,1/ratio,area_n1,area_n2,area_ratio,per_n1,per_n2,per_ratio
circle__1_greaterthan_3_5_area_S1.png, circle,3,5,0.6,1.67,13824,13824,1,707,885,0.8
circle__1_greaterthan_3_5_area_S2.png, circle,3,5,0.6,1.67,13824,13824,1,707,885,0.8
circle__1_greaterthan_3_6_area_S1.png, circle,3,6,0.5,2,13824,13824,1,706,975,0.72
circle__1_greaterthan_3_6_area_S2.png, circle,3,6,0.5,2,13824,13824,1,706,975,0.72
circle__1_greaterthan_3_7_area_S1.png, circle,3,7,0.43,2.33,13824,13824,1,706,1053,0.67
circle__1_greaterthan_3_7_area_S2.png, circle,3,7,0.43,2.33,13824,13824,1,706,1053,0.67
circle__1_greaterthan_3_8_area_S1.png, circle,3,8,0.38,2.67,13824,13824,1,703,1127,0.62
circle__1_greaterthan_3_8_area_S2.png, circle,3,8,0.38,2.67,13824,13824,1,703,1127,0.62
circle__1_greaterthan_3_9_area_S1.png, circle,3,9,0.33,3,13824,13824,1,702,1211,0.58
circle__1_greaterthan_3_9_area_S2.png, circle,3,9,0.33,3,13824,13824,1,702,1211,0.58
circle__1_lessthan_4_1_area_S1.png, circle,4,1,4,0.25,13824,13824,1,814,416,1.96
circle__1_lessthan_4_1_area_S2.png, circle,4,1,4,0.25,13824,13824,1,814,416,1.96
circle__1_lessthan_4_2_area_S1.png, circle,4,2,2,0.5,13824,13824,1,814,581,1.4
circle__1_lessthan_4_2_area_S2.png, circle,4,2,2,0.5,13824,13824,1,814,581,1.4
circle__1_lessthan_4_3_area_S1.png, circle,4,3,1.33,0.75,13824,13824,1,772,699,1.1
circle__1_lessthan_4_3_area_S2.png, circle,4,3,1.33,0.75,13824,13824,1,772,699,1.1
circle__1_equal_4_4_area_S1.png, circle,4,4,1,1,13824,13824,1,796,770,1.03
circle__1_equal_4_4_area_S2.png, circle,4,4,1,1,13824,13824,1,796,770,1.03
circle__1_greaterthan_4_5_area_S1.png, circle,4,5,0.8,1.25,13824,13824,1,804,893,0.9
circle__1_greaterthan_4_5_area_S2.png, circle,4,5,0.8,1.25,13824,13824,1,804,893,0.9
circle__1_greaterthan_4_6_area_S1.png, circle,4,6,0.67,1.5,13824,13824,1,797,972,0.82
circle__1_greaterthan_4_6_area_S2.png, circle,4,6,0.67,1.5,13824,13824,1,797,972,0.82
circle__1_greaterthan_4_7_area_S1.png, circle,4,7,0.57,1.75,13824,13824,1,795,1057,0.75
circle__1_greaterthan_4_7_area_S2.png, circle,4,7,0.57,1.75,13824,13824,1,795,1057,0.75
circle__1_greaterthan_4_8_area_S1.png, circle,4,8,0.5,2,13824,13824,1,822,1135,0.72
circle__1_greaterthan_4_8_area_S2.png, circle,4,8,0.5,2,13824,13824,1,822,1135,0.72
circle__1_greaterthan_4_9_area_S1.png, circle,4,9,0.44,2.25,13824,13824,1,814,1208,0.67
circle__1_greaterthan_4_9_area_S2.png, circle,4,9,0.44,2.25,13824,13824,1,814,1208,0.67
circle__1_lessthan_5_1_area_S1.png, circle,5,1,5,0.2,13824,13824,1,870,416,2.09
circle__1_lessthan_5_1_area_S2.png, circle,5,1,5,0.2,13824,13824,1,870,416,2.09
circle__1_lessthan_5_2_area_S1.png, circle,5,2,2.5,0.4,13824,13824,1,898,574,1.56
circle__1_lessthan_5_2_area_S2.png, circle,5,2,2.5,0.4,13824,13824,1,898,574,1.56
circle__1_lessthan_5_3_area_S1.png, circle,5,3,1.67,0.6,13824,13824,1,900,683,1.32
circle__1_lessthan_5_3_area_S2.png, circle,5,3,1.67,0.6,13824,13824,1,900,683,1.32
circle__1_lessthan_5_4_area_S1.png, circle,5,4,1.25,0.8,13824,13824,1,904,766,1.18
circle__1_lessthan_5_4_area_S2.png, circle,5,4,1.25,0.8,13824,13824,1,904,766,1.18
circle__1_equal_5_5_area_S1.png, circle,5,5,1,1,13824,13824,1,897,912,0.98
circle__1_equal_5_5_area_S2.png, circle,5,5,1,1,13824,13824,1,897,912,0.98
circle__1_greaterthan_5_6_area_S1.png, circle,5,6,0.83,1.2,13824,13824,1,891,985,0.9
circle__1_greaterthan_5_6_area_S2.png, circle,5,6,0.83,1.2,13824,13824,1,891,985,0.9
circle__1_greaterthan_5_7_area_S1.png, circle,5,7,0.71,1.4,13824,13824,1,912,1051,0.87
circle__1_greaterthan_5_7_area_S2.png, circle,5,7,0.71,1.4,13824,13824,1,912,1051,0.87
circle__1_greaterthan_5_8_area_S1.png, circle,5,8,0.63,1.6,13824,13824,1,890,1121,0.79
circle__1_greaterthan_5_8_area_S2.png, circle,5,8,0.63,1.6,13824,13824,1,890,1121,0.79
circle__1_greaterthan_5_9_area_S1.png, circle,5,9,0.56,1.8,13824,13824,1,887,1202,0.74
circle__1_greaterthan_5_9_area_S2.png, circle,5,9,0.56,1.8,13824,13824,1,887,1202,0.74
circle__1_lessthan_6_1_area_S1.png, circle,6,1,6,0.17,13824,13824,1,1000,416,2.4
circle__1_lessthan_6_1_area_S2.png, circle,6,1,6,0.17,13824,13824,1,1000,416,2.4
circle__1_lessthan_6_2_area_S1.png, circle,6,2,3,0.33,13824,13824,1,986,585,1.69
circle__1_lessthan_6_2_area_S2.png, circle,6,2,3,0.33,13824,13824,1,986,585,1.69
circle__1_lessthan_6_3_area_S1.png, circle,6,3,2,0.5,13824,13824,1,997,707,1.41
circle__1_lessthan_6_3_area_S2.png, circle,6,3,2,0.5,13824,13824,1,997,707,1.41
circle__1_lessthan_6_4_area_S1.png, circle,6,4,1.5,0.67,13824,13824,1,981,818,1.2
circle__1_lessthan_6_4_area_S2.png, circle,6,4,1.5,0.67,13824,13824,1,981,818,1.2
circle__1_lessthan_6_5_area_S1.png, circle,6,5,1.2,0.83,13824,13824,1,996,900,1.11
circle__1_lessthan_6_5_area_S2.png, circle,6,5,1.2,0.83,13824,13824,1,996,900,1.11
circle__1_equal_6_6_area_S1.png, circle,6,6,1,1,13824,13824,1,968,972,1
circle__1_equal_6_6_area_S2.png, circle,6,6,1,1,13824,13824,1,968,972,1
circle__1_greaterthan_6_7_area_S1.png, circle,6,7,0.86,1.17,13824,13824,1,985,1064,0.93
circle__1_greaterthan_6_7_area_S2.png, circle,6,7,0.86,1.17,13824,13824,1,985,1064,0.93
circle__1_greaterthan_6_8_area_S1.png, circle,6,8,0.75,1.33,13824,13824,1,957,1141,0.84
circle__1_greaterthan_6_8_area_S2.png, circle,6,8,0.75,1.33,13824,13824,1,957,1141,0.84
circle__1_greaterthan_6_9_area_S1.png, circle,6,9,0.67,1.5,13824,13824,1,968,1215,0.8
circle__1_greaterthan_6_9_area_S2.png, circle,6,9,0.67,1.5,13824,13824,1,968,1215,0.8
circle__1_lessthan_7_1_area_S1.png, circle,7,1,7,0.14,13824,13824,1,1056,416,2.54
circle__1_lessthan_7_1_area_S2.png, circle,7,1,7,0.14,13824,13824,1,1056,416,2.54
circle__1_lessthan_7_2_area_S1.png, circle,7,2,3.5,0.29,13824,13824,1,1058,562,1.88
